rank,videoId,title,channelTitle,publishedAt,region,type,firstSeen,lastSeen,isTracking,url,viewHistory,hashtags,likeHistory,commentHistory,durationSeconds
5,KH9Cajuvlqg,Papa ne udas kar Diya ❤️🙏 #shorts #thebnbrothers #love #viral,The BN Brothers,2025-09-12T13:05:00Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=KH9Cajuvlqg,"11,468,833","#shorts,#thebnbrothers,#love,#viral",0,0,20
6,oylkAv_OXEE,Jai Jai Shri Radhe Krishna ji...🤣🤣🤣🤣#youtubeshorts #trending #funny #comedy #keshav soni family,Keshav Soni Family,2025-09-12T05:41:08Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=oylkAv_OXEE,"10,123,023","#youtubeshorts,#trending,#funny,#comedy,#keshav",12862,71,4
7,pdQnHX_FGHo,Tum Meri Photo Kyon Khinch Rahe Ho 🤑😡😰 #viral #movie #short,Gungun Shorts,2025-09-13T05:54:32Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=pdQnHX_FGHo,"9,489,885","#viral,#movie,#short",0,35,34
8,S-3p4JJmfzk,Allah ki madad #trending #yt_shorts #india #shortvideos #viral #shortsfeed,Leader In Islam ,2025-09-14T04:54:18Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=S-3p4JJmfzk,"8,082,305","#trending,#yt_shorts,#india,#shortvideos,#viral,#shortsfeed",75169,23,20
9,6_0UOSZi3tY,"Shocking! Just cheese bait, mice drop into basket!? #cat #catandmouse #trending",Pet It Now,2025-09-13T06:30:02Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=6_0UOSZi3tY,"7,912,462","#cat,#catandmouse,#trending",27433,225,6
10,VQyNXemX6R4,Choti ne bacha liya bahen ko jaan🔥 #comedy #funny #entertainment #trending #virelshorts #anayavideo,K7 the fun,2025-09-12T00:40:00Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=VQyNXemX6R4,"7,615,178","#comedy,#funny,#entertainment,#trending,#virelshorts,#anayavideo",40830,7,21
11,jQKzHV3HKJE,Viral State Officer Pushed Army Colonel 🙏🏻🔥#indianarmy #shorts #armylife #viral #specialforces,Defence Duty ,2025-09-12T13:21:42Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=jQKzHV3HKJE,"6,954,150",,175848,1433,27
12,qxGm14KEKYs,price 149sale shop sale market #shortvideo #video #trending #ytshorts #tiktokd‌,karan,2025-09-12T01:02:48Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=qxGm14KEKYs,"6,895,583","#shortvideo,#video,#trending,#ytshorts,#tiktokd",12852,8,9
13,wWxFQtQ6cZw,चिंटू ने पापा का कोल्डड्रिंक चुराया 🥵 | #viral #facts #shortvideo #ai,SHORTCUT RIXX,2025-09-12T13:12:44Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=wWxFQtQ6cZw,"6,338,547","#viral,#facts,#shortvideo,#ai",23605,1,8
14,AseNjUXFTmI,danger movement 🤣 #cat #meme #dance #trending,Real Haru,2025-09-12T08:30:08Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=AseNjUXFTmI,"6,274,966",,27380,12,6
15,CDRAK9ucoC8,Dulhan ny Apny dulhy ko khabardar kar dia #shorts #viralvideo #trending #love #shortvideo #foryou,PullsUp,2025-09-13T15:56:37Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=CDRAK9ucoC8,"6,082,780","#shorts,#viralvideo,#trending,#love,#shortvideo,#foryou",17914,68,6
16,RkazQEHfTaY,A Dance Teacher's Competitive Fire 🔥#funny #dance #fyp #trending #foryou #cute,ywddxwls,2025-09-13T02:25:05Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=RkazQEHfTaY,"5,844,876","#funny,#dance,#fyp,#trending,#foryou,#cute",40480,52,21
17,0h6hBFUf2rQ,लगा दे आग पानी में जवानी उसे कहते हैं #indian_idol #trending #viral #funny #youtube #shorts,Pujan Kumar Official ,2025-09-13T07:05:35Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=0h6hBFUf2rQ,"5,735,878","#indian_idol,#trending,#viral,#funny,#youtube,#shorts",31837,12,19
18,BAUTCSRPcNc,Papa got me a new bike 🏍️ 😂 || Harsh patel || #shorts #viral #trending #comedy #harshpatel,Harsh ,2025-09-12T06:31:00Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=BAUTCSRPcNc,"5,734,536","#shorts,#viral,#trending,#comedy,#harshpatel",56817,66,60
19,HuSao_H9mLA,MENTE MÁ (Remix) - Nakama | Dance Trend Viral Tiktok Dance,Nikoork_抖音,2025-09-14T11:46:00Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=HuSao_H9mLA,"5,437,081","#dance,#trend,#viral,#tiktok,#mentema,#remix,#foryou,#zhanghao,#zerobaseone",75778,1431,12
20,laWfjFPECXE,#palligramtv #trending #comedy #ytshorts,Dobir Vlogs,2025-09-12T02:00:45Z,US,shorts,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=laWfjFPECXE,"5,239,361","#palligramtv,#trending,#comedy,#ytshorts",29069,30,20
1,Xmm3Kr5P1Uw,India TV LIVE: Aaj Ki Baat |  Nepal Protest Updates | PM Modi | France Protest | AAP | Sanjay Singh,IndiaTV,2025-09-11T19:35:14Z,IN,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=Xmm3Kr5P1Uw,"1,119,066,725","#nepalnewpm,#pmmodivaranasivisit,#nepalprotestupdate,#charliekirk,#justicesushilakarki,#pmmodi,#biharelection2025,#weather,#emmanuelmacron,#nepalprotest,#genzprotest,#asiacup2025,#breakingnews,#indiatv",1132854,238,1426
2,0Qe1XMBHejU,Wait for last #shorts #viralshorts #trending #thimingalam #whatsappstatus,Thimingalam ,2025-09-13T12:30:02Z,IN,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=0Qe1XMBHejU,"27,414,878","#shorts,#viralshorts,#trending,#thimingalam,#whatsappstatus",168374,18,26
3,jXISHUef8c8,Nepal 🇳🇵 Financial minister condition | Nepal news today #nepal #nepali #trending #love,Sunil Kushwah vlog,2025-09-12T11:17:58Z,IN,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=jXISHUef8c8,"21,923,791","#nepal,#nepali,#trending,#love",162646,5220,12
4,AgdeHs8QyqU,Jai shree Krishna🙏#motivation #motivational#facts#radhakrishna#viral#shorts#video#trending#ytshorts,vansh ki dooniya,2025-09-11T17:44:48Z,IN,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=AgdeHs8QyqU,"19,810,261","#motivation,#motivational,#facts,#radhakrishna,#viral,#shorts,#video,#trending,#ytshorts",72075,223,6
5,pVrHzTsdDSk,nepal protest army action mode | #nepal #india #army #armylover,Success with Bharat pareek,2025-09-11T17:02:46Z,IN,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=pVrHzTsdDSk,"12,176,583","#nepal,#india,#army,#armylover",161395,963,13
6,IO6UPFJAqcA,"""7 in 1 best gujiya folding trick unlocked.""🤯😉🤪 #relatable #trending #shorts",Radhika Maroo,2025-09-12T08:31:00Z,IN,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=IO6UPFJAqcA,"11,747,360","#relatable,#trending,#shorts,#radhikamaroo",157574,668,22
7,oylkAv_OXEE,Jai Jai Shri Radhe Krishna ji...🤣🤣🤣🤣#youtubeshorts #trending #funny #comedy #keshav soni family,Keshav Soni Family,2025-09-12T05:41:08Z,IN,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=oylkAv_OXEE,"10,123,023","#youtubeshorts,#trending,#funny,#comedy,#keshav",12863,71,4
